customer_id,product_id,rating
u_31bab0d0,331232,4
u_8740d76d,322130,5
u_e4e80742,336737,5
u_4c158dea,336737,5
u_39ed5dff,344723,5
u_ab1d59b3,344723,1
u_cfec61c9,315390,5
u_260f4629,315390,4
u_e8afb081,315390,5
u_6fe52e32,315390,5
u_b559dd28,315390,4
u_ec0590c0,315590,1
u_80ab1586,315590,1
u_a1069004,315590,1
u_2e3f505d,315590,2
u_95b0d692,315590,5
u_cd5def84,322134,3
u_08a98df1,303299,5
u_a86bdf69,303299,5
u_a306f895,303299,4
u_f8459e98,303299,5
u_4eecbb82,303299,5
u_998f3045,317623,1
u_cfa31249,317623,2
u_b942b5e3,317623,4
u_f8814bd4,317623,2
u_800f32fc,317623,3
u_c062d67e,311062,5
u_d286567b,311062,5
u_f1b56aa1,311062,2
u_2379fb26,311062,5
u_1832849c,356854,5
u_7c7acd42,356854,3
u_d6732c60,356854,5
u_cfec61c9,334530,5
u_b5f3d9e2,334530,5
u_2cae8ebf,334530,5
u_25753c33,334530,4
u_03b63af9,344750,4
u_99dbb407,344750,3
u_e7b48ef1,344750,4
u_e3fd1e45,344750,5
u_a09a8b5d,367408,5
u_ce5a6eea,363022,2
u_ab95d7b2,365217,5
u_37eefe23,358003,2
u_63d5e82b,358003,3
u_26a3e39a,358003,2
u_9a32bc4e,358003,2
u_a880f6ed,358003,4
u_11a82982,344767,4
u_283446b6,344767,5
u_f92adaf4,362941,5
u_9305c326,362941,5
u_a30a9bfe,334436,5
u_a6be98d4,334436,3
u_e0a73b23,334436,5
u_2d4fa8c9,334436,1
u_11a360b9,334436,4
u_f92adaf4,362942,5
u_39132150,344769,3
u_f92adaf4,362940,5
u_d8ac68ab,321616,1
u_f5a6ba46,321616,5
u_f1caa913,321616,5
u_90be1414,321616,1
u_b2208b80,321616,1
u_0783bfe6,340067,4
u_98466531,340067,4
u_387c5884,340067,5
u_71aafd38,327697,1
u_4ad35edf,327697,5
u_e89ffaec,327697,5
u_753c0c47,327692,5
u_1d09b9ba,327692,5
u_7451c057,327692,4
u_57d6dcf3,327692,5
u_07f7748d,327692,4
u_1089289a,327699,5
u_a482067e,338265,5
u_337f06f2,340065,5
u_9600de79,310858,5
u_0ab04f06,310858,5
u_b28efe2f,310858,3
u_5c997129,310858,5
u_99e91a25,310858,5
u_db71d558,339531,5
u_e6ca281b,332406,3
u_2cae8ebf,332406,3
u_44a3b6f0,332406,5
u_d023a6f7,332406,3
u_45a448bf,332406,5
u_8466fa8e,332404,3
u_2b959933,332404,2
u_eadbb956,332404,4
u_0ec67fb7,332404,3
u_7f2dd9f4,332404,1
u_d3d6e068,329832,5
u_8c4e9c17,329832,2
u_e16e76e5,329832,3
u_40a8d947,329832,5
u_aeb78dcb,329832,5
u_e6ca281b,344776,1
u_d19f6767,344776,1
u_e4d85099,344776,1
u_67c2cbb1,344776,5
u_b397ec40,344776,1
u_a49beebf,363793,5
u_f27e48fe,329154,5
u_22a1916f,329154,5
u_a78f9b8a,329154,5
u_44951141,329154,5
u_a7c8df69,329154,5
u_b9220d5e,361413,4
u_2cae8ebf,361413,2
u_2a99e9e8,361413,2
u_3e8876da,361413,3
u_7ce3d71a,361413,3
u_635ff873,325754,3
u_7dd65f0e,325754,5
u_50db7bcb,338377,3
u_c97d179b,366987,5
u_49fa4b0c,366987,5
u_f1caa913,315014,3
u_e2f40317,315014,1
u_9dcb6f84,315014,5
u_6c192eab,315014,3
u_a97cbbe0,315014,1
u_474c0831,328322,1
u_f38e6cc5,328322,1
u_c3aafb77,328322,5
u_106d6ecc,328322,1
u_73a14bb4,328322,3
u_5b5523f4,359914,5
u_ee5da163,359914,5
u_1e1a4d4f,359914,5
u_504c75ec,359914,5
u_7d84d751,359914,5
u_7dcbec45,342707,2
u_1cc86097,342707,1
u_e90374c8,342707,5
u_167fc241,342707,4
u_1a7472f9,342707,4
u_a58eb59a,343124,3
u_5ba06cce,343124,3
u_9593e680,343124,1
u_404308a2,363217,2
u_da608cfb,363217,2
u_8df7e10e,363217,1
u_d4d63ee2,360238,2
u_91c63236,360238,1
u_ff33faaf,360238,4
u_2c39735d,360238,5
u_57808dd9,360238,4
u_ec5dbe27,360236,5
u_ce0d6b76,360236,4
u_5ba37a77,360236,5
u_e196b369,341378,3
u_95b0d692,341378,3
u_b60ebc09,341378,3
u_8348d9cc,341378,3
u_c3c91d58,341378,3
u_3894e87f,339177,1
u_5f5ca0b3,339177,5
u_aab60d28,339177,3
u_cf3cd2ff,339177,1
u_24fe57b6,339177,4
u_e6ca281b,340255,3
u_95b0d692,340255,4
u_95d2fec6,340255,4
u_eacd478a,340255,2
u_889c2d0c,332934,5
u_8c392d20,332934,5
u_207060b4,332934,1
u_ec828525,332934,2
u_9f0867d9,332934,5
u_5469a156,322129,5
u_85d20195,322129,5
u_44bce335,322129,5
u_7a4d5ad3,322129,5
u_02990193,322129,4
u_c10e17fc,317981,1
u_7275b713,317981,5
u_2ee1223a,317981,5
u_2e8c793a,317981,5
u_f8598f6d,317981,4
u_eb0a61f7,364968,2
u_74e958c3,360302,4
u_b82bc698,360302,3
u_769f932f,360310,3
u_b92f9369,360312,2
u_a2e67624,360312,5
u_21ad12a4,360312,5
u_4398e3e9,360312,3
u_f0032d5d,360312,5
u_9f55c97d,360307,1
u_5e9b3af0,360307,3
u_af6ec72b,360307,5
u_c09087a4,360307,1
u_ab1d59b3,360307,1
u_a5fdbd8d,360309,1
u_48af8aca,360309,3
u_5f19d4db,360309,4
u_3c292838,360309,5
u_f3b5bd93,360309,2
u_c8e84240,341272,1
u_8426d263,341272,4
u_8d9c307c,341272,3
u_eacd478a,341272,1
u_6f4b4de7,341272,3
u_519aa586,359776,3
u_389a4da8,359776,4
u_68542111,359776,2
u_36458fe3,359776,3
u_73fad1a5,359776,3
u_48e595fe,346265,4
u_4985bc71,346265,5
u_a303cac3,346265,3
u_0931f909,346265,3
u_1266b4e6,346265,2
u_568fb6d5,363473,5
u_bbf549e5,363473,3
u_faf27b83,344644,1
u_1b0b5ae0,344644,5
u_5e1bdd0d,344644,5
u_a86eb835,344644,3
u_6bab8551,344644,5
u_6da5089e,363468,5
u_2cae8ebf,363468,3
u_b9ece18c,363468,5
u_e2f40317,363468,4
u_6fc87be8,344645,3
u_13074345,344645,3
u_a49beebf,344645,2
u_a651ead2,344645,4
u_2f7937ed,344645,1
u_4e282c1d,335917,3
u_fa3c2027,335917,3
u_d16f4b23,335917,5
u_0ebc6973,335917,3
u_18a97270,335917,1
u_3aa26a2f,363470,5
u_79c4394d,357576,3
u_fb40bded,357576,3
u_9e1da1f2,357576,2
u_d442a070,357576,2
u_44ddd564,357576,4
u_39242faa,357862,4
u_f952320a,357862,5
u_025c3d99,357862,5
u_c211a717,339180,4
u_580db649,339180,4
u_606718ba,339180,4
u_aff53658,339180,4
u_f45dfd33,339180,5
u_1c358198,338918,2
u_2a841658,338918,1
u_dabe2e9c,338918,5
u_09ee5db8,338918,2
u_3cc8e006,338918,5
u_1be6f7db,341625,5
u_ca9992a9,341625,1
u_444d0af4,341625,5
u_3cdd2057,341625,5
u_4e62bb9b,341625,3
u_ff45b3ca,336408,5
u_299a85bc,336408,5
u_8394f034,336408,5
